paper_id,reaction_id,smiles_halide,smiles_boronic,smiles_product,catalyst,base,solvent,temperature_C,time_h,scale_mmol,yield_percent,label_3bin,label_binary
Paper 2_s,R34,BrC1=CC=C(C(C)(C)C)C=C1,OB(O)C1=C(C)C=CC=C1,CC1=CC=CC=C1C2=CC=C(C(C)(C)C)C=C2,Pd(OAc)2/L1,K3PO4,Toluene,100,24.0,,89,1,
Paper 2_s,R35,BrC1=CC=C(C(C)(C)C)C=C1,OB(O)C1=CC=CC=C1C2=CC=CC=C2,CC(C1=CC=C(C2=C(C3=CC=CC=C3)C=CC=C2)C=C1)(C)C,Pd(OAc)2/L1,K3PO4,Toluene,100,24.0,,85,1,
Paper 2_s,R36,CC1=CC(C)=CC(C)=C1Br,CC1=C(B(O)O)C(C)=CC=C1,CC1=CC(C)=CC(C)=C1C2=C(C)C=CC=C2C,Pd2(dba)3/L1,K3PO4,Toluene,110,18.0,,82,1,
Paper 2_s,R37,BrC1=C(OC)C=CC=C1OC,CC1=C(B(O)O)C(C)=CC=C1,CC1=CC=CC(C)=C1C2=C(OC)C=CC=C2OC,Pd2(dba)3/L1,K3PO4,Toluene,100,10.0,,86,1,
Paper 2_s,R38,BrC1=C(C(C)C)C=C(C(C)C)C=C1C(C)C,OB(O)C1=CC=CC=C1,CC(C1=C(C2=CC=CC=C2)C(C(C)C)=CC(C(C)C)=C1)C,Pd2(dba)3/L1,K3PO4,Toluene,100,16.0,,97,2,
Paper 2_s,R39,BrC1=C(C(C)C)C=C(C(C)C)C=C1C(C)C,OB(O)C1=CC=CC=C1C,CC(C=CC=C1)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,Pd2(dba)3/L1,K3PO4,Toluene,100,24.0,,95,2,
Paper 2_s,R40,BrC1=C(C(C)C)C=C(C(C)C)C=C1C(C)C,OB(O)C1=CC=CC=C1C2=CC=CC=C2,CC(C1=C(C2=C(C3=CC=CC=C3)C=CC=C2)C(C(C)C)=CC(C(C)C)=C1)C,Pd2(dba)3/L1,K3PO4,Toluene,100,18.0,,93,2,
Paper 2_s,R41,BrC1=C(C(C)C)C=C(C(C)C)C=C1C(C)C,OB(O)C1=CC=CC2=C1C=CC=C2,CC(C1=C(C2=C(C=CC=C3)C3=CC=C2)C(C(C)C)=CC(C(C)C)=C1)C,Pd2(dba)3/L1,K3PO4,Toluene,100,12.0,,96,2,
Paper 2_s,R42,BrC1=CN(N=C1)CC2=CC=CC=C2,OB(O)C1=CC=CC=C1,C1(CN2N=CC(C3=CC=CC=C3)=C2)=CC=CC=C1,Pd(OAc)2/L1,K3PO4,Toluene,100,24.0,,95,2,
Paper 2_s,R43,ClC1=NN=NN1C2=CC=CC=C2,OB(O)C1=CC=CC=C1,C1(N2N=NN=C2C3=CC=CC=C3)=CC=CC=C1,Pd(OAc)2/L1,K3PO4,Toluene,100,24.0,,85,1,
Paper 2_s,R44,ClC1=C(C=CC=C2)C2=NC=C1,OB(O)C1=CC=CC=C1,C1(C2=CC=NC3=C2C=CC=C3)=CC=CC=C1,Pd(OAc)2/L1,K3PO4,Toluene,100,0.25,,97,2,
Paper 2_s,R45,ClC1=CC2=C(C=C1)NC=C2,OB(O)C1=C(C)C=CC=C1,CC(C=CC=C1)=C1C2=CC3=C(C=C2)NC=C3,Pd(OAc)2/L1,K3PO4,Toluene,100,15.0,,96,2,
Paper 2_s,R46,ClC1=CC=CN=C1,OB(O)C1=C(C)C=CC=C1,CC1=CC=CC=C1C2=CC=CN=C2,Pd(OAc)2/L1,K3PO4,Toluene,100,24.0,,97,2,
Paper 2_s,R47,CN(C)C1=CC(Cl)=CC=C1,OB(O)C,CN(C)C1=CC(C)=CC=C1,Pd(OAc)2/L1,K3PO4,Toluene,100,20.0,,97,2,
Paper 2_s,R48,ClC1=C2C(C=CC=C2)=CC3=C1C=CC=C3,OB(O)C,CC1=C2C(C=CC=C2)=CC3=C1C=CC=C3,Pd(OAc)2/L1,K3PO4,Toluene,100,24.0,,99,2,
Paper 2,R49,ClC1=CC=C(CCCC)C=C1,F[B-](F)(C1=CC=C(C(C)(C)C)C=C1)F.[K+],CC(C)(C)C1=CC=C(C2=CC=C(CCCC)C=C2)C=C1,Pd(OAc)2/S-Phos,NoBase,Ethanol,80,12.0,,15,0,
Paper 2,R50,ClC1=CC=C(CCCC)C=C1,F[B-](F)(C1=CC=C(C(C)(C)C)C=C1)F.[K+],CC(C)(C)C1=CC=C(C2=CC=C(CCCC)C=C2)C=C1,Pd(OAc)2/S-Phos,NoBase,IPA,80,12.0,,20,0,
Paper 2,R51,ClC1=CC=C(CCCC)C=C1,F[B-](F)(C1=CC=C(C(C)(C)C)C=C1)F.[K+],CC(C)(C)C1=CC=C(C2=CC=C(CCCC)C=C2)C=C1,Pd(OAc)2/S-Phos,KF,IPA,80,12.0,,65,1,
Paper 2,R52,ClC1=CC=C(CCCC)C=C1,F[B-](F)(C1=CC=C(C(C)(C)C)C=C1)F.[K+],CC(C)(C)C1=CC=C(C2=CC=C(CCCC)C=C2)C=C1,Pd(OAc)2/S-Phos,K3PO4,IPA,80,12.0,,85,1,
Paper 2,R53,ClC1=CC=C(CCCC)C=C1,F[B-](F)(C1=CC=C(C(C)(C)C)C=C1)F.[K+],CC(C)(C)C1=CC=C(C2=CC=C(CCCC)C=C2)C=C1,Pd(OAc)2/S-Phos,K2CO3,tBuOH,80,12.0,,30,0,
